text,category,tfidf_lr,tfidf_svm,semantic_lr,semantic_svm,mlp,tfidf_lr_correct,tfidf_svm_correct,semantic_lr_correct,semantic_svm_correct,mlp_correct
"It's been two weeks, why has the transaction for $1.00 not been reversed?",extra_charge_on_statement,reverted_card_payment?,reverted_card_payment?,reverted_card_payment?,reverted_card_payment?,reverted_card_payment?,False,False,False,False,False
What is the €1 fee for?,extra_charge_on_statement,top_up_by_bank_transfer_charge,top_up_by_bank_transfer_charge,card_payment_fee_charged,card_payment_fee_charged,card_payment_fee_charged,False,False,False,False,False
how long til my cash out goes through?,pending_cash_withdrawal,pending_cash_withdrawal,pending_cash_withdrawal,pending_cash_withdrawal,balance_not_updated_after_cheque_or_cash_deposit,pending_cash_withdrawal,True,True,True,False,True
Why am I unable to take money from my card but the statement says the transaction is still pending?,pending_cash_withdrawal,pending_transfer,pending_transfer,pending_card_payment,pending_card_payment,pending_cash_withdrawal,False,False,False,False,True
Where's accounting for my cash withdrawal?,pending_cash_withdrawal,pending_cash_withdrawal,cash_withdrawal_charge,cash_withdrawal_not_recognised,atm_support,cash_withdrawal_not_recognised,True,False,False,False,False
My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,cash_withdrawal_charge,declined_card_payment,cash_withdrawal_charge,declined_cash_withdrawal,cash_withdrawal_not_recognised,False,False,False,False,False
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,pending_card_payment,pending_card_payment,reverted_card_payment?,reverted_card_payment?,pending_cash_withdrawal,False,False,False,False,False
What currencies do you do exchanges for?,fiat_currency_support,fiat_currency_support,fiat_currency_support,fiat_currency_support,exchange_charge,fiat_currency_support,True,True,True,False,True
Do you offer additional currency options?,fiat_currency_support,fiat_currency_support,fiat_currency_support,supported_cards_and_currencies,exchange_charge,exchange_charge,True,True,False,False,False
How do I change currencies to euros?,fiat_currency_support,exchange_via_app,exchange_via_app,exchange_via_app,exchange_via_app,exchange_via_app,False,False,False,False,False
Am I able to exchange currencies?,fiat_currency_support,exchange_via_app,exchange_via_app,exchange_via_app,exchange_via_app,fiat_currency_support,False,False,False,False,True
Can I exchange currencies?,fiat_currency_support,exchange_via_app,exchange_via_app,exchange_via_app,exchange_via_app,exchange_via_app,False,False,False,False,False
my card was not in the mail again can you advise?,card_delivery_estimate,declined_card_payment,declined_card_payment,card_arrival,card_arrival,card_arrival,False,False,False,False,False
Can I get my card expedited?,card_delivery_estimate,card_arrival,card_arrival,card_about_to_expire,card_about_to_expire,card_delivery_estimate,False,False,False,False,True
When can I expect to receive my new card?,card_delivery_estimate,card_delivery_estimate,card_delivery_estimate,card_arrival,card_arrival,card_arrival,True,True,False,False,False
I am waiting for my card to arrive.,card_delivery_estimate,card_arrival,card_arrival,card_arrival,card_arrival,card_arrival,False,False,False,False,False
where is theft-top option?,automatic_top_up,automatic_top_up,automatic_top_up,automatic_top_up,get_disposable_virtual_card,topping_up_by_card,True,True,True,False,False
Can I be topped up once I hit a certain balance?,automatic_top_up,pending_top_up,automatic_top_up,top_up_limits,top_up_limits,top_up_limits,False,True,False,False,False
How do I unblock my card using the app?,card_not_working,pin_blocked,pin_blocked,pin_blocked,pin_blocked,pin_blocked,False,False,False,False,False
Can I change my currency from USD to EUR?,exchange_via_app,fiat_currency_support,fiat_currency_support,fiat_currency_support,fiat_currency_support,fiat_currency_support,False,False,False,False,False
"My entire gym bag, including my wallet, was stolen out of my locker today. Everything in my wallet is gone - how do I block the card to make it can't be used?",lost_or_stolen_card,lost_or_stolen_card,lost_or_stolen_card,lost_or_stolen_card,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,True,True,True,False,False
Is a copy of the police report necessary for completing the report process?,lost_or_stolen_card,transaction_charged_twice,lost_or_stolen_card,verify_my_identity,order_physical_card,compromised_card,False,True,False,False,False
I cannot find my credit card.,lost_or_stolen_card,topping_up_by_card,topping_up_by_card,lost_or_stolen_card,topping_up_by_card,lost_or_stolen_card,False,False,True,False,True
Where can I view my PIN?,pin_blocked,get_physical_card,get_physical_card,get_physical_card,get_physical_card,get_physical_card,False,False,False,False,False
Will you reinstate my PIN?,pin_blocked,get_physical_card,get_physical_card,change_pin,change_pin,change_pin,False,False,False,False,False
Can I reactivate my PIN?,pin_blocked,get_physical_card,card_linking,change_pin,change_pin,change_pin,False,False,False,False,False
"My card's frozen, what can I do?",pin_blocked,card_not_working,card_not_working,card_not_working,card_not_working,card_not_working,False,False,False,False,False
what is required documents for new card process ?,contactless_not_working,card_arrival,order_physical_card,order_physical_card,order_physical_card,order_physical_card,False,False,False,False,False
The NFC payment wouldn't work on the bus today. Help?,contactless_not_working,card_not_working,contactless_not_working,declined_card_payment,apple_pay_or_google_pay,declined_card_payment,False,True,False,False,False
what is the charges for new card?,contactless_not_working,card_arrival,contactless_not_working,card_payment_fee_charged,card_about_to_expire,getting_spare_card,False,True,False,False,False
"I need to make a transfer, what will the fee be?",top_up_by_bank_transfer_charge,top_up_by_bank_transfer_charge,top_up_by_bank_transfer_charge,top_up_by_bank_transfer_charge,transfer_fee_charged,transfer_fee_charged,True,True,True,False,False
Will a transfer incur a fee?,top_up_by_bank_transfer_charge,transfer_fee_charged,transfer_fee_charged,transfer_fee_charged,transfer_fee_charged,transfer_fee_charged,False,False,False,False,False
What are the fees for top-ups?,top_up_by_bank_transfer_charge,top_up_by_card_charge,top_up_by_card_charge,top_up_by_card_charge,top_up_by_card_charge,top_up_by_card_charge,False,False,False,False,False
Can you tell me what the transfer policy is?,top_up_by_bank_transfer_charge,failed_transfer,failed_transfer,beneficiary_not_allowed,beneficiary_not_allowed,receiving_money,False,False,False,False,False
What us the fee to transfer money from my bank?,top_up_by_bank_transfer_charge,transfer_into_account,transfer_into_account,transfer_fee_charged,transfer_fee_charged,transfer_fee_charged,False,False,False,False,False
"I've already topped up, but I cannot see the funds being available. What happened?",pending_top_up,pending_top_up,top_up_failed,top_up_reverted,top_up_reverted,pending_top_up,True,False,False,False,True
So I just put my top-up into the card and it hasn't changed.,pending_top_up,pending_top_up,pending_top_up,topping_up_by_card,topping_up_by_card,top_up_failed,True,True,False,False,False
"OMG!  I'm trying to load my card and it wont top up!  I desperately need the money either on my card or in my bank, where is it?",pending_top_up,top_up_failed,top_up_failed,topping_up_by_card,topping_up_by_card,topping_up_by_card,False,False,False,False,False
Why is my top-up still outstanding?,pending_top_up,pending_top_up,pending_top_up,pending_top_up,top_up_reverted,pending_top_up,True,True,True,False,True
Where is the money I topped off with?,pending_top_up,transfer_not_received_by_recipient,top_up_reverted,top_up_reverted,top_up_reverted,top_up_reverted,False,False,False,False,False
I want to go back on what I did this morning,cancel_transfer,cancel_transfer,cancel_transfer,cancel_transfer,request_refund,top_up_reverted,True,True,True,False,False
"I don't know if this is an issue with the ATM or my account, but I just tried withdrawing 30 pounds from the ATM I'm at now and it only gave me 10. Is this a glitch or what exactly is going on?",wrong_amount_of_cash_received,wrong_amount_of_cash_received,wrong_amount_of_cash_received,declined_cash_withdrawal,declined_cash_withdrawal,wrong_amount_of_cash_received,True,True,False,False,True
Why did I not get my cash back after I withdrew?,wrong_amount_of_cash_received,wrong_amount_of_cash_received,wrong_amount_of_cash_received,declined_cash_withdrawal,cash_withdrawal_charge,wrong_amount_of_cash_received,True,True,False,False,True
Where is the money I pushed it's on my mobile app as being withdrawn.,wrong_amount_of_cash_received,transfer_not_received_by_recipient,transfer_not_received_by_recipient,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,False,False,False,False,False
My cash withdrawal was partly declined,wrong_amount_of_cash_received,declined_cash_withdrawal,declined_cash_withdrawal,declined_cash_withdrawal,declined_cash_withdrawal,declined_cash_withdrawal,False,False,False,False,False
Will declined funds I tried to withdraw be returned to me?,wrong_amount_of_cash_received,declined_cash_withdrawal,declined_cash_withdrawal,declined_cash_withdrawal,declined_cash_withdrawal,declined_cash_withdrawal,False,False,False,False,False
There is an unauthorized fee.,card_payment_fee_charged,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,card_payment_fee_charged,extra_charge_on_statement,card_payment_fee_charged,False,False,True,False,True
im not sure what this charge is for,card_payment_fee_charged,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,extra_charge_on_statement,direct_debit_payment_not_recognised,card_payment_not_recognised,False,False,False,False,False
There is a fee on my account. Why?,card_payment_fee_charged,extra_charge_on_statement,extra_charge_on_statement,card_payment_fee_charged,extra_charge_on_statement,extra_charge_on_statement,False,False,True,False,False
how long do money transfers take?,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,transfer_timing,transfer_timing,transfer_timing,False,False,False,False,False
Where is the transfer I started?,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,False,False,False,False,False
transaction failed?,transfer_not_received_by_recipient,failed_transfer,failed_transfer,failed_transfer,failed_transfer,beneficiary_not_allowed,False,False,False,False,False
I need to find out why my transfer didn't get there.,transfer_not_received_by_recipient,failed_transfer,failed_transfer,balance_not_updated_after_bank_transfer,failed_transfer,transfer_not_received_by_recipient,False,False,False,False,True
I transferred some money but the receiver can't pick it up for some reason.,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,transfer_fee_charged,transfer_not_received_by_recipient,transfer_fee_charged,transfer_not_received_by_recipient,False,False,True,False,True
When will my funds transfer?,transfer_not_received_by_recipient,pending_transfer,verify_source_of_funds,transfer_timing,transfer_timing,transfer_timing,False,False,False,False,False
I transferred some money but the recipient is having trouble withdrawing.,transfer_not_received_by_recipient,transfer_not_received_by_recipient,transfer_not_received_by_recipient,beneficiary_not_allowed,beneficiary_not_allowed,beneficiary_not_allowed,True,True,False,False,False
Will you accept my other card?,supported_cards_and_currencies,supported_cards_and_currencies,supported_cards_and_currencies,getting_spare_card,getting_spare_card,supported_cards_and_currencies,True,True,False,False,True
What options do I have in regards to payment?,supported_cards_and_currencies,card_payment_not_recognised,supported_cards_and_currencies,pending_card_payment,card_payment_fee_charged,receiving_money,False,True,False,False,False
Can I get a copy of the card by email?,getting_virtual_card,card_arrival,card_arrival,order_physical_card,order_physical_card,order_physical_card,False,False,False,False,False
Can I use my card anywere?,card_acceptance,card_acceptance,card_acceptance,card_not_working,card_not_working,card_acceptance,True,True,False,False,True
What can I use my card to pay for?,card_acceptance,card_acceptance,card_acceptance,supported_cards_and_currencies,supported_cards_and_currencies,card_acceptance,True,True,False,False,True
"My top-up showed as complete, but it's no longer there! What's going on here?",top_up_reverted,top_up_failed,top_up_failed,pending_top_up,pending_top_up,pending_top_up,False,False,False,False,False
The app wouldn't accept my top up.,top_up_reverted,top_up_failed,top_up_failed,top_up_failed,top_up_failed,top_up_failed,False,False,False,False,False
I put money into my account for the minimum balance but the application didn't accept.,top_up_reverted,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,wrong_amount_of_cash_received,top_up_failed,top_up_failed,False,False,False,False,False
I tryed to make a top-up with cryptocurrency but the payment was referted.,top_up_reverted,reverted_card_payment?,reverted_card_payment?,card_payment_not_recognised,card_payment_not_recognised,top_up_reverted,False,False,False,False,True
On my last transaction it seem that my top-up was not successful.,top_up_reverted,top_up_failed,top_up_failed,top_up_failed,top_up_failed,top_up_reverted,False,False,False,False,True
I have paid money into my account but it doesn't show.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_cheque_or_cash_deposit,True,True,False,False,True
The balance on my account wasn't updated after I made a depost.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,top_up_reverted,False,False,True,False,False
there is a transaction on my account that i didnt make,card_payment_not_recognised,direct_debit_payment_not_recognised,card_payment_not_recognised,card_payment_not_recognised,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,False,True,True,False,False
There are some strange charges on my card that I didn't make from a few days ago.  Is my card stolen and if so should I cancel it?  Will I get refunded the charges?,card_payment_not_recognised,card_payment_not_recognised,card_payment_not_recognised,compromised_card,lost_or_stolen_card,compromised_card,True,True,False,False,False
Can you freeze my account?  I just saw there are transactions on my account that I don't recognize.  How can I fix this?,card_payment_not_recognised,card_payment_not_recognised,compromised_card,cancel_transfer,compromised_card,compromised_card,True,False,False,False,False
I think my statement has a fraudulent charge,card_payment_not_recognised,card_payment_not_recognised,card_payment_not_recognised,direct_debit_payment_not_recognised,compromised_card,card_payment_not_recognised,True,True,False,False,True
What should I do to get transactions off of my account if I didn't make them?  My card must have been compromised and I need to freeze it asap!,card_payment_not_recognised,compromised_card,compromised_card,compromised_card,compromised_card,compromised_card,False,False,False,False,False
I have an unauthorized transaction on my statement,card_payment_not_recognised,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,extra_charge_on_statement,compromised_card,False,False,False,False,False
I see a charge on my account that I don't recall making. I feel like my account may have been compromised.,card_payment_not_recognised,extra_charge_on_statement,extra_charge_on_statement,extra_charge_on_statement,extra_charge_on_statement,compromised_card,False,False,False,False,False
Somebody used my card to make a purchase,card_payment_not_recognised,compromised_card,compromised_card,compromised_card,compromised_card,compromised_card,False,False,False,False,False
I think there has been a purchase made that wasn't by me.,card_payment_not_recognised,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,request_refund,compromised_card,card_payment_not_recognised,False,False,False,False,True
There is a fraudulent charge on my statement.,card_payment_not_recognised,extra_charge_on_statement,extra_charge_on_statement,extra_charge_on_statement,direct_debit_payment_not_recognised,card_payment_not_recognised,False,False,False,False,True
I would like to not have to do the identity verification.,why_verify_identity,why_verify_identity,why_verify_identity,verify_my_identity,verify_my_identity,why_verify_identity,True,True,False,False,True
I won't verify my identity.,why_verify_identity,verify_my_identity,verify_my_identity,unable_to_verify_identity,unable_to_verify_identity,unable_to_verify_identity,False,False,False,False,False
What other methods are there to verify my identity?,why_verify_identity,verify_my_identity,verify_my_identity,verify_my_identity,verify_my_identity,verify_my_identity,False,False,False,False,False
What do i need to verify my id?,unable_to_verify_identity,verify_my_identity,verify_my_identity,verify_my_identity,verify_my_identity,verify_my_identity,False,False,False,False,False
Am I allowed to use any card to make a payment?,visa_or_mastercard,declined_card_payment,declined_card_payment,supported_cards_and_currencies,supported_cards_and_currencies,card_acceptance,False,False,False,False,False
What are the available cards?,visa_or_mastercard,supported_cards_and_currencies,supported_cards_and_currencies,getting_spare_card,getting_spare_card,order_physical_card,False,False,False,False,False
What major card payments are accepted?,visa_or_mastercard,supported_cards_and_currencies,supported_cards_and_currencies,supported_cards_and_currencies,supported_cards_and_currencies,supported_cards_and_currencies,False,False,False,False,False
Can I top up using my car?,topping_up_by_card,top_up_by_cash_or_cheque,compromised_card,automatic_top_up,automatic_top_up,automatic_top_up,False,False,False,False,False
How can someone add money to my account?,topping_up_by_card,transfer_into_account,transfer_into_account,transfer_into_account,transfer_into_account,transfer_into_account,False,False,False,False,False
Cannot access my top up.,topping_up_by_card,top_up_failed,top_up_failed,top_up_failed,top_up_failed,top_up_failed,False,False,False,False,False
Why is my money gone right when I attempted to top up,topping_up_by_card,topping_up_by_card,topping_up_by_card,top_up_reverted,top_up_reverted,top_up_reverted,True,True,False,False,False
Why can't I see the top-up amount I just added to my account?,topping_up_by_card,pending_top_up,pending_top_up,top_up_reverted,pending_top_up,top_up_reverted,False,False,False,False,False
Do these virtual cards have any caps on using them?,disposable_card_limits,getting_virtual_card,getting_virtual_card,getting_virtual_card,getting_virtual_card,getting_virtual_card,False,False,False,False,False
Are there any hindrances to using a disposable virtual card?,disposable_card_limits,disposable_card_limits,disposable_card_limits,get_disposable_virtual_card,get_disposable_virtual_card,get_disposable_virtual_card,True,True,False,False,False
How many virtual cards do I get?,disposable_card_limits,getting_virtual_card,getting_virtual_card,getting_virtual_card,getting_virtual_card,getting_virtual_card,False,False,False,False,False
What can I use a virtual disposable card for?,disposable_card_limits,get_disposable_virtual_card,get_disposable_virtual_card,get_disposable_virtual_card,get_disposable_virtual_card,get_disposable_virtual_card,False,False,False,False,False
Can I freeze my card right now?,compromised_card,lost_or_stolen_card,lost_or_stolen_card,card_delivery_estimate,card_not_working,card_linking,False,False,False,False,False
"I think my identity has been stolen, can you check on unauthorized charges?",compromised_card,lost_or_stolen_card,lost_or_stolen_card,compromised_card,verify_my_identity,compromised_card,False,False,True,False,True
Can I use app to freeze account and dispute fraud?,compromised_card,compromised_card,compromised_card,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,True,True,False,False,False
How do I freeze my card using the app?,compromised_card,card_linking,card_linking,card_linking,card_not_working,card_linking,False,False,False,False,False
How do I freeze my account?,compromised_card,terminate_account,terminate_account,terminate_account,terminate_account,terminate_account,False,False,False,False,False
I think my child used my card while I wasn't home.,compromised_card,compromised_card,age_limit,age_limit,age_limit,compromised_card,True,False,False,False,True
Can I get cash with this card anywhere?,atm_support,card_acceptance,card_acceptance,card_acceptance,card_acceptance,atm_support,False,False,False,False,True
what is this charge on my account,direct_debit_payment_not_recognised,extra_charge_on_statement,extra_charge_on_statement,extra_charge_on_statement,extra_charge_on_statement,extra_charge_on_statement,False,False,False,False,False
someone stole my money,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,lost_or_stolen_card,cash_withdrawal_not_recognised,transfer_fee_charged,cash_withdrawal_not_recognised,False,False,False,False,False
"I am seeing a weird payment showing up that I know I did not make, how can I get it cancelled?",direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,card_payment_not_recognised,card_payment_not_recognised,direct_debit_payment_not_recognised,True,True,False,False,True
I am concerned about the security in my account and would like to make a dispute.,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,why_verify_identity,why_verify_identity,why_verify_identity,True,True,False,False,False
Someone has taken my money and I don't know who,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,transfer_not_received_by_recipient,cash_withdrawal_not_recognised,verify_source_of_funds,cash_withdrawal_not_recognised,False,False,False,False,False
I was charged on my account that shouldn't be there.,direct_debit_payment_not_recognised,extra_charge_on_statement,direct_debit_payment_not_recognised,extra_charge_on_statement,extra_charge_on_statement,extra_charge_on_statement,False,True,False,False,False
Why was my account deducted from a seller when I didn't approve of it?,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,reverted_card_payment?,reverted_card_payment?,reverted_card_payment?,True,True,False,False,False
My withdrawal was cancelled.,declined_cash_withdrawal,declined_cash_withdrawal,declined_cash_withdrawal,pending_cash_withdrawal,top_up_reverted,top_up_reverted,True,True,False,False,False
How do i finalize a card payment,pending_card_payment,declined_card_payment,declined_card_payment,reverted_card_payment?,supported_cards_and_currencies,reverted_card_payment?,False,False,False,False,False
How long do card transactions take to clear?,pending_card_payment,card_not_working,card_not_working,pending_card_payment,card_not_working,card_arrival,False,False,True,False,False
"I was double charged, and the second charge is showing as ""pending"". How long will it be before I get my money back once the second charge has been refunded?",pending_card_payment,transaction_charged_twice,transaction_charged_twice,transaction_charged_twice,transaction_charged_twice,transaction_charged_twice,False,False,False,False,False
Someone stole my cards!,lost_or_stolen_phone,lost_or_stolen_card,lost_or_stolen_card,lost_or_stolen_card,lost_or_stolen_card,compromised_card,False,False,False,False,False
"I wasn't charged the correct amount for an item I purchased, how can I fix this?",request_refund,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,False,False,False,False,False
I want this amount reversed out of my account.,request_refund,terminate_account,terminate_account,cancel_transfer,wrong_amount_of_cash_received,cancel_transfer,False,False,False,False,False
I am getting continuous failure for all my transfers. I have cross checked each recipient detail again and again and everything is correct.,declined_transfer,declined_transfer,declined_transfer,failed_transfer,failed_transfer,beneficiary_not_allowed,True,True,False,False,False
"How can I fix my card, it got declined twice.",declined_transfer,transaction_charged_twice,transaction_charged_twice,declined_card_payment,transaction_charged_twice,declined_card_payment,False,False,False,False,False
How do I contact customer support about a transfer?,declined_transfer,declined_transfer,declined_transfer,transfer_not_received_by_recipient,transfer_not_received_by_recipient,transfer_not_received_by_recipient,True,True,False,False,False
Why was I unable to do a transfer?,declined_transfer,failed_transfer,failed_transfer,failed_transfer,failed_transfer,failed_transfer,False,False,False,False,False
Trouble transferring transaction contact for help,declined_transfer,cancel_transfer,cancel_transfer,failed_transfer,contactless_not_working,beneficiary_not_allowed,False,False,False,False,False
When I try and to buy something using my card it keeps getting declined.,declined_transfer,declined_transfer,declined_transfer,declined_card_payment,declined_card_payment,declined_card_payment,True,True,False,False,False
Double check your funds may be declined,declined_transfer,declined_cash_withdrawal,declined_cash_withdrawal,transaction_charged_twice,declined_cash_withdrawal,top_up_failed,False,False,False,False,False
I can't transfer money from my account.,declined_transfer,transfer_into_account,transfer_into_account,beneficiary_not_allowed,beneficiary_not_allowed,beneficiary_not_allowed,False,False,False,False,False
My card is being declined online. Could you tell me what might be broken or wrong with the account?,declined_transfer,declined_transfer,card_not_working,declined_card_payment,declined_card_payment,declined_card_payment,True,False,False,False,False
"I was attempting to purchase a golf club off eBay yesterday, but my credit card was declined. I tried multiple times, and again this morning. Can you check into my card please?",declined_transfer,declined_card_payment,transaction_charged_twice,declined_card_payment,declined_card_payment,declined_card_payment,False,False,False,False,False
"I requested a refund, and never received it. What can I do?",Refund_not_showing_up,Refund_not_showing_up,Refund_not_showing_up,Refund_not_showing_up,request_refund,Refund_not_showing_up,True,True,True,False,True
I bought something and returned it and the money from the return isn't in my account.,Refund_not_showing_up,reverted_card_payment?,reverted_card_payment?,reverted_card_payment?,reverted_card_payment?,Refund_not_showing_up,False,False,False,False,True
I requested a refund from a store but it hasn't arrived.,Refund_not_showing_up,Refund_not_showing_up,Refund_not_showing_up,request_refund,request_refund,Refund_not_showing_up,True,True,False,False,True
Why is my debit card being declined when I have money?,declined_card_payment,declined_cash_withdrawal,direct_debit_payment_not_recognised,declined_card_payment,declined_cash_withdrawal,declined_card_payment,False,False,True,False,True
Why is my transfer not done yet?,pending_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,False,False,False,False,False
How long can an EU transfer take?,pending_transfer,pending_transfer,pending_transfer,transfer_timing,transfer_timing,transfer_timing,True,True,False,False,False
"I transferred money yesterday, but it still isn't available?",pending_transfer,transfer_not_received_by_recipient,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,False,False,False,False,False
Why hasn't my transfer gone through yet?,pending_transfer,failed_transfer,failed_transfer,transfer_not_received_by_recipient,failed_transfer,transfer_not_received_by_recipient,False,False,False,False,False
When will the transfer go through?,pending_transfer,pending_transfer,failed_transfer,transfer_timing,transfer_timing,pending_transfer,True,False,False,False,True
When will my transfer go through?,pending_transfer,failed_transfer,failed_transfer,transfer_timing,transfer_timing,transfer_timing,False,False,False,False,False
"I would like to know why my payment is still pending, can you help?",pending_transfer,pending_card_payment,pending_card_payment,pending_card_payment,pending_card_payment,pending_card_payment,False,False,False,False,False
Someone transferred money to me and it doesn't show,pending_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,transfer_not_received_by_recipient,transfer_not_received_by_recipient,False,False,False,False,False
Why is a money transfer not showing?,pending_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,False,False,False,False,False
How do I retrieve my card from the machine?,card_swallowed,card_not_working,supported_cards_and_currencies,card_linking,order_physical_card,card_linking,False,False,False,False,False
I was taking out funds and was unable to regain my card.,card_swallowed,card_not_working,card_not_working,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,False,False,False,False,False
WTF??? I tried to withdraw some money at a Metro bank on High St. Kensington and without any notice it disappeared in the machine. The bank was already closed so I couldn't do anything. How do I get it back?,card_swallowed,pending_cash_withdrawal,pending_cash_withdrawal,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,False,False,False,False,False
how long dies it take for transfers to reflect on my balance,transfer_timing,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,False,False,False,False,False
