text,category,word_count,char_count,clean_text
Where is my credit card that was to be mailed?,card_arrival,10,46,where is my credit card that wa to be mailed
I ordered my card but it hasn't been delivered yet,card_arrival,10,50,i ordered my card but it ha n't been delivered yet
Am I able to track the card that was just sent to me?,card_arrival,13,53,am i able to track the card that wa just sent to me
Can you tell me why I haven't received my new card?,card_arrival,11,51,can you tell me why i have n't received my new card
I'm still waiting for my new card.,card_arrival,7,34,i 'm still waiting for my new card
Is my card lost? I am still waiting for it to be delivered.,card_arrival,13,59,is my card lost i am still waiting for it to be delivered
Should I keep waiting for my card to be delivered?,card_arrival,10,50,should i keep waiting for my card to be delivered
Can I track when my card will be delivered?,card_arrival,9,43,can i track when my card will be delivered
How can I check on the status of my new card?,card_arrival,11,45,how can i check on the status of my new card
"A card has been sent to me, how do I track it?",card_arrival,12,46,a card ha been sent to me how do i track it
Is there a way I can get my card expedited?,card_arrival,10,43,is there a way i can get my card expedited
What can I do to track the card you sent me?,card_arrival,11,44,what can i do to track the card you sent me
why hasnt my card come in yet?,card_arrival,7,30,why hasnt my card come in yet
How can I periodically check the delivery of the card you sent?,card_arrival,12,63,how can i periodically check the delivery of the card you sent
What's the reason my new card hasn't come?,card_arrival,8,42,what 's the reason my new card ha n't come
How long does it take for me to get my new card?,card_arrival,12,48,how long doe it take for me to get my new card
I don't have my card after 1 week. What are my next steps?,card_arrival,13,58,i do n't have my card after week what are my next step
I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,18,82,i know i 'm getting a new card but would like know when i can expect to receive it
I want to find out what happened to my new card?,card_arrival,11,48,i want to find out what happened to my new card
Was there a way for me to get tracking for that?,card_arrival,11,48,wa there a way for me to get tracking for that
I am still waiting for my card.,card_arrival,7,31,i am still waiting for my card
My card hasn't arrived.,card_arrival,4,23,my card ha n't arrived
Can I track the card you sent to me?,card_arrival,9,36,can i track the card you sent to me
I haven't gotten my new card.,card_arrival,6,29,i have n't gotten my new card
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,23,103,how long should it take for my new card to arrive in them mail what should i do if i never receive it
Will I have to wait much longer for my new card to arrive?,card_arrival,13,58,will i have to wait much longer for my new card to arrive
how to track the card you sent,card_arrival,7,30,how to track the card you sent
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,15,69,week ago i ordered my new card it is n't here what should i do
How can I check on the delivery status of my card?,card_arrival,11,50,how can i check on the delivery status of my card
"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival,18,86,my card ha not been delivered yet and it been a week since i ordered it please help
What's the expected wait time to recieve my new card?,card_arrival,10,53,what 's the expected wait time to recieve my new card
How can I see the progress of delivery of the card that was sent?,card_arrival,14,65,how can i see the progress of delivery of the card that wa sent
"My card was supposed to arrive, but hasn't?",card_arrival,8,43,my card wa supposed to arrive but ha n't
I ordered a card and would like to know how to track the delivery progress of it.,card_arrival,17,81,i ordered a card and would like to know how to track the delivery progress of it
How long will it take for me to get my card?,card_arrival,11,44,how long will it take for me to get my card
My card hasn't shown up yet.,card_arrival,6,28,my card ha n't shown up yet
Does the card you sent have a tracking number?,card_arrival,9,46,doe the card you sent have a tracking number
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival,18,82,my card ha n't arrived in the mail yet i ordered it two week ago what can i do
maximum how many days get the courier?,card_arrival,7,38,maximum how many day get the courier
Is there a reason my new card hasn't arrived yet?,card_arrival,10,49,is there a reason my new card ha n't arrived yet
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,18,82,i 've been waiting a while for my card is there a way to know when it will arrive
How can I track my card's delivery?,card_arrival,7,35,how can i track my card 's delivery
Can I track the card that was just sent to me?,card_arrival,11,46,can i track the card that wa just sent to me
"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,17,80,if i ordered my new card last week how much longer should i wait to receive it
"What's go on, where is my new card?",card_arrival,8,35,what 's go on where is my new card
Where is my new card if I haven't received it yet?,card_arrival,11,50,where is my new card if i have n't received it yet
Where is my card?,card_arrival,4,17,where is my card
Can you tell me why I haven't received my new card yet?,card_arrival,12,55,can you tell me why i have n't received my new card yet
Is there a way to track my card?,card_arrival,8,32,is there a way to track my card
Is there a way to track the new card you sent me?,card_arrival,12,49,is there a way to track the new card you sent me
I'm still waiting for my card.,card_arrival,6,30,i 'm still waiting for my card
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,18,75,what do i need to do to get my new card which i have requested week ago
WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival,7,36,what is the solution of this problem
Could I get tracking on the card?,card_arrival,7,33,could i get tracking on the card
Can you help me track my card?,card_arrival,7,30,can you help me track my card
Shouldn't my new card be here by now?,card_arrival,8,37,should n't my new card be here by now
Is there a reason my new card hasn't arrived?,card_arrival,9,45,is there a reason my new card ha n't arrived
"I would like to track a card sent to me, how do I do that?",card_arrival,15,58,i would like to track a card sent to me how do i do that
Is there a tracking number for the card?,card_arrival,8,40,is there a tracking number for the card
can you share card tracking number?,card_arrival,6,35,can you share card tracking number
"I have not received my card and it's been a week, what do I do?",card_arrival,15,63,i have not received my card and it 's been a week what do i do
Is there a way I can check on the card on route to me?,card_arrival,14,54,is there a way i can check on the card on route to me
When will my new card arrive?,card_arrival,6,29,when will my new card arrive
Why haven't I received my new card yet?,card_arrival,8,39,why have n't i received my new card yet
What is the expected delivery date of my card?,card_arrival,9,46,what is the expected delivery date of my card
My card hasn't came in the mail yet?,card_arrival,8,36,my card ha n't came in the mail yet
I haven't received my card.,card_arrival,5,27,i have n't received my card
Is it possible for me to track the card is was mailed to me?,card_arrival,14,60,is it possible for me to track the card is wa mailed to me
When will my new card be delivered?,card_arrival,7,35,when will my new card be delivered
I was issued a card about a week ago. why hasn't it come in yet?,card_arrival,15,64,i wa issued a card about a week ago why ha n't it come in yet
Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival,15,66,can you please tell me where my card is i ordered it week ago
I still haven't received my card in the mail,card_arrival,9,44,i still have n't received my card in the mail
I'm still waiting for my card that was issued a week ago. What should I do?,card_arrival,16,75,i 'm still waiting for my card that wa issued a week ago what should i do
I still haven't gotten my new card.  When will it get here?,card_arrival,12,59,i still have n't gotten my new card when will it get here
Do you have a tracking number for the card I was sent?,card_arrival,12,54,do you have a tracking number for the card i wa sent
How do I track the card you sent to me?,card_arrival,10,39,how do i track the card you sent to me
Is my new bank card on the way and is there a way to track it?,card_arrival,16,62,is my new bank card on the way and is there a way to track it
Could you send me and up date on the arrival of my card?,card_arrival,13,56,could you send me and up date on the arrival of my card
How long does it take to recieve my new card?,card_arrival,10,45,how long doe it take to recieve my new card
My card has not come in the mail yet.,card_arrival,9,37,my card ha not come in the mail yet
What's the card you sent me's tracking number?,card_arrival,8,46,what 's the card you sent me 's tracking number
i havent got my card,card_arrival,5,20,i havent got my card
Why hasn't my card arrived yet?,card_arrival,6,31,why ha n't my card arrived yet
I thought I would have received my new card at this point.,card_arrival,12,58,i thought i would have received my new card at this point
How long until my new card gets here?,card_arrival,8,37,how long until my new card get here
How much longer until I get my new card?,card_arrival,9,40,how much longer until i get my new card
Am I able to track a card that has already been sent?,card_arrival,12,53,am i able to track a card that ha already been sent
Is it possible to track the card you sent me?,card_arrival,10,45,is it possible to track the card you sent me
How long will it be to get this new card?,card_arrival,10,41,how long will it be to get this new card
how can i track card you sent,card_arrival,7,29,how can i track card you sent
Can the card was sen to me be tracked?,card_arrival,9,38,can the card wa sen to me be tracked
why have i not got my new card?,card_arrival,8,31,why have i not got my new card
I need to track the card sent to me.,card_arrival,9,36,i need to track the card sent to me
"It's been two weeks and I haven't gotten my card, what do I do?",card_arrival,14,63,it 's been two week and i have n't gotten my card what do i do
I was expecting my new card by now.,card_arrival,8,35,i wa expecting my new card by now
Where is the tracking number for the card?,card_arrival,8,42,where is the tracking number for the card
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,card_arrival,23,105,i wa issued a new card a week ago but still have n't received it how long will it be until i receive it
Can I track the card that you sent me in the mail?,card_arrival,12,50,can i track the card that you sent me in the mail
Can you tell me if I can track the card you sent me?,card_arrival,13,52,can you tell me if i can track the card you sent me
Why have I not gotten my new card?,card_arrival,8,34,why have i not gotten my new card
I'm still waiting on my new card to be delivered!,card_arrival,10,49,i 'm still waiting on my new card to be delivered
My new card isn't here and it was issued a week ago.,card_arrival,12,52,my new card is n't here and it wa issued a week ago
"I was supposed to receive my new card by now, but it hasn't came in.",card_arrival,15,68,i wa supposed to receive my new card by now but it ha n't came in
Is a tracking number available for the card that was just sent?,card_arrival,12,63,is a tracking number available for the card that wa just sent
Why haven't I gotten my new card?,card_arrival,7,33,why have n't i gotten my new card
Was there a number to track that I could get?,card_arrival,10,45,wa there a number to track that i could get
How much longer is it going to take to get my new card?,card_arrival,13,55,how much longer is it going to take to get my new card
I haven't gotten my credit card in the mail.,card_arrival,9,44,i have n't gotten my credit card in the mail
My card hasn't arrived yet. What do I do?,card_arrival,9,41,my card ha n't arrived yet what do i do
"My card still hasn't arrived after two weeks, now what?",card_arrival,10,55,my card still ha n't arrived after two week now what
My card appears to have never arrived?,card_arrival,7,38,my card appears to have never arrived
My card never arrived.,card_arrival,4,22,my card never arrived
My card has been found. Is there any way for me to put it back into the app?,card_linking,18,76,my card ha been found is there any way for me to put it back into the app
I was able to find my card. How to I go about putting it into my app?,card_linking,17,69,i wa able to find my card how to i go about putting it into my app
how do I get my card to show in the app?,card_linking,11,40,how do i get my card to show in the app
I just got my card.  It's not linked yet--how do I do that?,card_linking,13,59,i just got my card it 's not linked yet how do i do that
"lost card found, want to put it back in app",card_linking,10,43,lost card found want to put it back in app
"I just got a card, how can I add it to the app?",card_linking,13,47,i just got a card how can i add it to the app
Is there any way to see my card in the app?,card_linking,11,43,is there any way to see my card in the app
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,card_linking,25,103,if i find a card i lost do i need to dispose of it or can i re active the card and continue to use it
I found my card. How can I put it into my app?,card_linking,12,46,i found my card how can i put it into my app
How do I make my card show up in the app?,card_linking,11,41,how do i make my card show up in the app
Can you show me where to link the new card?,card_linking,10,43,can you show me where to link the new card
I found my old card. Can I link it back into the app?,card_linking,13,53,i found my old card can i link it back into the app
"Show me how to link the new card,",card_linking,8,33,show me how to link the new card
How do I add an existing card to the app?,card_linking,10,41,how do i add an existing card to the app
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,card_linking,23,98,i finally got my card now i want to link it is that something you have to do or can i do that
How do I link one of your card that I already have?,card_linking,12,51,how do i link one of your card that i already have
If I have a physical card can I link it?,card_linking,10,40,if i have a physical card can i link it
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,card_linking,18,90,i found my lost card in my jacket pocket this morning so i 'd like to reactivate it please
Can I add a card that I just found (again) to the app?,card_linking,13,54,can i add a card that i just found again to the app
How can I make my card show up in the app?,card_linking,11,42,how can i make my card show up in the app
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",card_linking,18,98,i would like to re activate my card it wa previously reported lost but i found it this morning
"Okay, I found my card, can I put it back in the app?",card_linking,13,52,okay i found my card can i put it back in the app
Can I reactivate a card?,card_linking,5,24,can i reactivate a card
I would like to reactivate a card and wondered if that could be done?,card_linking,14,69,i would like to reactivate a card and wondered if that could be done
"I got my card now, how do I make it show up in the app?",card_linking,15,55,i got my card now how do i make it show up in the app
How do I link an existing card?,card_linking,7,31,how do i link an existing card
How do I link a new card in the app?,card_linking,10,36,how do i link a new card in the app
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",card_linking,22,104,the card i thought wa lost wa just in my jacket so can i reactivate it since i found it this morning
I already have a card and want to link it,card_linking,10,41,i already have a card and want to link it
Can you please reactivate my card?,card_linking,6,34,can you please reactivate my card
Where do I go to add a new card?,card_linking,9,32,where do i go to add a new card
I want my card I just received to show up in the app. How do I do that?,card_linking,18,71,i want my card i just received to show up in the app how do i do that
"I received my card, how do I get it to show in the app?",card_linking,14,55,i received my card how do i get it to show in the app
If I have a credit card with you how I get set up to link to it?,card_linking,17,64,if i have a credit card with you how i get set up to link to it
How do I add my new card?,card_linking,7,25,how do i add my new card
"I want to reactivate my card, I thought I had lost it but found it again this morning.",card_linking,18,86,i want to reactivate my card i thought i had lost it but found it again this morning
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",card_linking,19,89,i need a card reactivation i had reported my card lost but i ran across it in my jacket
My card is no longer lost. How do I enter it back into the app?,card_linking,15,63,my card is no longer lost how do i enter it back into the app
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",card_linking,19,86,i want to reactivate my card i thought i had lost it but found it again in my jacket
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",card_linking,18,94,may i reactivate my card i previously reported it lost but have now found it safe and sound
How do I reactivate a card I thought I lost?,card_linking,10,44,how do i reactivate a card i thought i lost
Help me figure out how to link the new card.,card_linking,10,44,help me figure out how to link the new card
I found my lost card. Am I still able to use it?,card_linking,12,48,i found my lost card am i still able to use it
Will I need a new card or can I put my old card back into the app?,card_linking,17,66,will i need a new card or can i put my old card back into the app
Is there a way to link the card i just got?,card_linking,11,43,is there a way to link the card i just got
How do I add a new card?,card_linking,7,24,how do i add a new card
"I want to reactivate my card, I found it after thinking it was lost.",card_linking,14,68,i want to reactivate my card i found it after thinking it wa lost
Can I put my old card back in the app?,card_linking,10,38,can i put my old card back in the app
"I got a new card, how do I link it?",card_linking,10,35,i got a new card how do i link it
I found the card I thought I lost this morning. Can I reactivate this card?,card_linking,15,75,i found the card i thought i lost this morning can i reactivate this card
How do i go about linking a new card?,card_linking,9,37,how do i go about linking a new card
how do i get the card linked,card_linking,7,28,how do i get the card linked
"I have one of your cards, but I don't know how to link it.",card_linking,14,58,i have one of your card but i do n't know how to link it
how do I link an old card?,card_linking,7,26,how do i link an old card
I received my card. How do I link it to the app?,card_linking,12,48,i received my card how do i link it to the app
"Now that I have my card, how do I connect it to the app?",card_linking,14,56,now that i have my card how do i connect it to the app
How do I add the card I just received to show up in the app?,card_linking,15,60,how do i add the card i just received to show up in the app
"I want to reactivate my card, I thought I had lost it but I found it.",card_linking,16,69,i want to reactivate my card i thought i had lost it but i found it
What do I need to do to link my new card for my account?,card_linking,14,56,what do i need to do to link my new card for my account
Can I add a card to back into the app?,card_linking,10,38,can i add a card to back into the app
I want to link my new card. Can you help?,card_linking,10,41,i want to link my new card can you help
What is the process to link the new card?,card_linking,9,41,what is the process to link the new card
"I found my card, am I able to put it back into the app?",card_linking,14,55,i found my card am i able to put it back into the app
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",card_linking,31,148,i have found my lost or stolen card would i still have to activate the new card that wa sent to me through the mail in order to access my account
Where can I link a new card?,card_linking,7,28,where can i link a new card
How do I add a card on to the app?,card_linking,10,34,how do i add a card on to the app
"I found my card in my jacket this morning, so can I reactivate it?",card_linking,14,66,i found my card in my jacket this morning so can i reactivate it
"I've obtained the card, how do I enable it on the app?",card_linking,12,54,i 've obtained the card how do i enable it on the app
I need to find the card I received in the app.,card_linking,11,46,i need to find the card i received in the app
How do I get my card on the app?,card_linking,9,32,how do i get my card on the app
"In the app, how can I make it show the new card that arrived?",card_linking,14,61,in the app how can i make it show the new card that arrived
How do I link my new card?,card_linking,7,26,how do i link my new card
Can I activate a card in the app?,card_linking,8,33,can i activate a card in the app
"I want to link to my card card with you, how?",card_linking,11,45,i want to link to my card card with you how
I would like to link my card to my account.,card_linking,10,43,i would like to link my card to my account
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",card_linking,26,123,i thought i lost my card so i cancelled it but recently i found it in my jacket and i would like to re establish the card
How can I link the new card?,card_linking,7,28,how can i link the new card
I got a new card and can't find where to link it.,card_linking,12,49,i got a new card and ca n't find where to link it
"Hey, I have my card, how do I get it to show in the app?",card_linking,15,56,hey i have my card how do i get it to show in the app
Where in the app do I go to make my new card show up?,card_linking,14,53,where in the app do i go to make my new card show up
Where do I scan my card?,card_linking,6,24,where do i scan my card
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,card_linking,17,84,can i reactivate my card i reported it lost and found it this morning in my jacket
Can I link my card I previously received?,card_linking,8,41,can i link my card i previously received
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",card_linking,21,99,i want to reactivate my card i thought i had lost it but found it again in my jacket this morning
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",card_linking,26,123,i 'd lke my card reactivated i wa thinking it wa misplaced but i discovered when i woke up that i had left it in my coat
You sent me a card and now I want to link it.,card_linking,12,45,you sent me a card and now i want to link it
How do I add my new card to the app?,card_linking,10,36,how do i add my new card to the app
Can I add a card back to the app?,card_linking,9,33,can i add a card back to the app
What if I want to add a card I already have to the app?,card_linking,14,55,what if i want to add a card i already have to the app
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",card_linking,17,85,i recently reported my card a missing lost and i just found it can i still use it
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",card_linking,20,98,could i reactivate my card please i could n't find it but it turn out it wa in my jacket pocket
Is there a way to link cards if I have one of yours?,card_linking,13,52,is there a way to link card if i have one of yours
If my card was lost or stolen can I re-link it?,card_linking,11,47,if my card wa lost or stolen can i re link it
How do I link a new card to an existing one?,card_linking,11,44,how do i link a new card to an existing one
How do I link a new payment card?,card_linking,8,33,how do i link a new payment card
I would like to reactivate my card that I previously reported lost. I located the card this morning.,card_linking,18,100,i would like to reactivate my card that i previously reported lost i located the card this morning
"Card has been received, how will it show up on the app?",card_linking,12,55,card ha been received how will it show up on the app
Can I re-link a lost card with the app?,card_linking,9,39,can i re link a lost card with the app
What do I do to link my new card?,card_linking,9,33,what do i do to link my new card
Is it possible to link a new card?,card_linking,8,34,is it possible to link a new card
I deactivated my card but would like to reactivate it.,card_linking,10,54,i deactivated my card but would like to reactivate it
"I found my card that I thought I had lost, I need to reactive it, please help.",card_linking,17,78,i found my card that i thought i had lost i need to reactive it please help
can I link a card of yours I already have?,card_linking,10,42,can i link a card of yours i already have
Can I put my found card back into the app on my phone?,card_linking,13,54,can i put my found card back into the app on my phone
"My card arrived but I need to make it work in the app, how do I do that?",card_linking,18,72,my card arrived but i need to make it work in the app how do i do that
"I found the card that I thought I lost, and I would like to reactivate it.",card_linking,16,74,i found the card that i thought i lost and i would like to reactivate it
I found my card again. Can I put it back into the app?,card_linking,13,54,i found my card again can i put it back into the app
I need some help linking my new card.,card_linking,8,37,i need some help linking my new card
help me link my card,card_linking,5,20,help me link my card
How do I link my card in the app.,card_linking,9,33,how do i link my card in the app
How do I get my card into the app?,card_linking,9,34,how do i get my card into the app
I found my card! Can I link it back into the app?,card_linking,12,49,i found my card can i link it back into the app
How do I reactivate my card?,card_linking,6,28,how do i reactivate my card
Where do I go to get my new card linked?,card_linking,10,40,where do i go to get my new card linked
"I thought I lost my card but I found it today, so I would like to reactivate it.",card_linking,18,80,i thought i lost my card but i found it today so i would like to reactivate it
How do I link the new card that I just got from you guys?,card_linking,14,57,how do i link the new card that i just got from you guy
How can I add a new card?,card_linking,7,25,how can i add a new card
Can you tell me how to get my card on the app?,card_linking,12,46,can you tell me how to get my card on the app
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,card_linking,18,91,is it possible to reactivate the card i thought i lost but found this morning in my jacket
How do I make my card appear on the app?,card_linking,10,40,how do i make my card appear on the app
How do I link the new card?,card_linking,7,27,how do i link the new card
Where in the app do I link a new card?,card_linking,10,38,where in the app do i link a new card
How do I add my card to the app once I get it?,card_linking,13,46,how do i add my card to the app once i get it
Can I link your physical card,card_linking,6,29,can i link your physical card
How do I activate and link my new card?,card_linking,9,39,how do i activate and link my new card
"I got a card, how do I get it in the app?",card_linking,12,41,i got a card how do i get it in the app
I received my new card.  Where is it in the app?,card_linking,11,48,i received my new card where is it in the app
"I found my card, how can I use it again?",card_linking,10,40,i found my card how can i use it again
"I just received a new card, where do I go to link it to my account?",card_linking,16,67,i just received a new card where do i go to link it to my account
"found card, how to put it back in app",card_linking,9,37,found card how to put it back in app
How do I see my card in the app?,card_linking,9,32,how do i see my card in the app
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",card_linking,18,89,the card i thought i lost wa in my jacket pocket this morning so can i reactivate that
I don't see my card anywhere in the app.,card_linking,9,40,i do n't see my card anywhere in the app
"I received my card, how do I get it to work in the app?",card_linking,14,55,i received my card how do i get it to work in the app
What do I do if I already had a card with you guys?,card_linking,13,51,what do i do if i already had a card with you guy
if i found a lost card can i put it back in app,card_linking,13,47,if i found a lost card can i put it back in app
I have a card that was deactivated can I reactivate it?,card_linking,11,55,i have a card that wa deactivated can i reactivate it
"My new card isn't in my app, how do I get it in there?",card_linking,14,54,my new card is n't in my app how do i get it in there
Help me access the card I already got so I can information from it.,card_linking,14,67,help me access the card i already got so i can information from it
What is my money worth in other countries?,exchange_rate,8,42,what is my money worth in other country
Will my money be of equal value when I travel abroad?,exchange_rate,11,53,will my money be of equal value when i travel abroad
Do you know the rate of exchange?,exchange_rate,7,33,do you know the rate of exchange
What foreign exchange rate will I get on weekdays and on the weekends?,exchange_rate,13,70,what foreign exchange rate will i get on weekday and on the weekend
What is the exchange looking like?,exchange_rate,6,34,what is the exchange looking like
How is the exchange rate doing?,exchange_rate,6,31,how is the exchange rate doing
I would like to know how exchange rates are calculated when transferring funds.,exchange_rate,13,79,i would like to know how exchange rate are calculated when transferring fund
I would like to know what exchange rates you use?,exchange_rate,10,49,i would like to know what exchange rate you use
"If I need to cash foreign transfers, how does that work?",exchange_rate,11,56,if i need to cash foreign transfer how doe that work
Do you know what your exchange rates are?,exchange_rate,8,41,do you know what your exchange rate are
How do I know what exchange rate I will get?,exchange_rate,10,44,how do i know what exchange rate i will get
What are you exchange rates?,exchange_rate,5,28,what are you exchange rate
Do you have the best exchange rate?,exchange_rate,7,35,do you have the best exchange rate
Where can I find your exchange rates?,exchange_rate,7,37,where can i find your exchange rate
Your exchange rates come from where?,exchange_rate,6,36,your exchange rate come from where
I need to know what your exchange rates are.,exchange_rate,9,44,i need to know what your exchange rate are
What's the process for exchanges?,exchange_rate,5,33,what 's the process for exchange
What do you think of the exchange rate?,exchange_rate,8,39,what do you think of the exchange rate
How are exchange rates calculated at this bank?,exchange_rate,8,47,how are exchange rate calculated at this bank
What do you use to figure out the exchange rate for the card?,exchange_rate,13,61,what do you use to figure out the exchange rate for the card
What's the foreign exchange rate I will receive?,exchange_rate,8,48,what 's the foreign exchange rate i will receive
I need to know what foreign exchange rate I can get.,exchange_rate,11,52,i need to know what foreign exchange rate i can get
What are the current exchange rates?,exchange_rate,6,36,what are the current exchange rate
What exchange rate will I receive?,exchange_rate,6,34,what exchange rate will i receive
What is the basis of your exchange rates?,exchange_rate,8,41,what is the basis of your exchange rate
How's the exchange rate?,exchange_rate,4,24,how 's the exchange rate
How do you determine your exchange rates?,exchange_rate,7,41,how do you determine your exchange rate
How do the foreign exchange rates work?,exchange_rate,7,39,how do the foreign exchange rate work
Where are you getting your exchange rates from?,exchange_rate,8,47,where are you getting your exchange rate from
How is the exchange rate calculated?,exchange_rate,6,36,how is the exchange rate calculated
I'm interested in what your exchange rates are based on.,exchange_rate,10,56,i 'm interested in what your exchange rate are based on
How do you decide what the exchange rates are?,exchange_rate,9,46,how do you decide what the exchange rate are
What is the current exchange rate?,exchange_rate,6,34,what is the current exchange rate
What is the formula for your exchange rate?,exchange_rate,8,43,what is the formula for your exchange rate
What method do you use for the exchange rate?,exchange_rate,9,45,what method do you use for the exchange rate
What are Interbanks current exchange rates?,exchange_rate,6,43,what are interbanks current exchange rate
from where are coming your exchange rates?,exchange_rate,7,42,from where are coming your exchange rate
How do you calculate exchange rates?,exchange_rate,6,36,how do you calculate exchange rate
Why is your exchange rate different on different days?,exchange_rate,9,54,why is your exchange rate different on different day
Where can I find the exchange rate for my transfer?,exchange_rate,10,51,where can i find the exchange rate for my transfer
Where can I get your exchange rates from?,exchange_rate,8,41,where can i get your exchange rate from
How do you find the exchange rate?,exchange_rate,7,34,how do you find the exchange rate
How are exchange rates determined?,exchange_rate,5,34,how are exchange rate determined
What value can I get for my currency?,exchange_rate,8,37,what value can i get for my currency
Please explain your exchange rate policy.,exchange_rate,6,41,please explain your exchange rate policy
What are your exchange rates calculated from?,exchange_rate,7,45,what are your exchange rate calculated from
What is an exchange rate?,exchange_rate,5,25,what is an exchange rate
What is your opinion on the exchange rate?,exchange_rate,8,42,what is your opinion on the exchange rate
